,item,seen,picked,pick_rate
36,"CardInfo(effects=(CardEffectInfo(type='Damage', target='opponent', value=0), CardEffectInfo(type='Ferment', target=None, value=None), None), element='umami', legality='legal', viewType='standard')",15,14,0.9333333333333333
37,"CardInfo(effects=(CardEffectInfo(type='Heal', target='self', value=1), CardEffectInfo(type='Tempo', target='self', value=None), None), element='fire', legality='legal', viewType='standard')",2,0,0.0
38,"CardInfo(effects=(None, CardEffectInfo(type='Phoenix', target='self', value=1), None), element='fire', legality='legal', viewType='standard')",21,0,0.0
39,"CardInfo(effects=(CardEffectInfo(type='Heal', target='self', value=3), None, CardEffectInfo(type='Heal', target='opponent', value=2)), element='umami', legality='legal', viewType='standard')",19,5,0.2631578947368421
40,"CardInfo(effects=(None, CardEffectInfo(type='Blaze', target='self', value=1), None), element='fire', legality='legal', viewType='standard')",4,0,0.0
41,"CardInfo(effects=(None, CardEffectInfo(type='PreventNextDamage', target='self', value=None), CardEffectInfo(type='Power', target='opponent', value=None)), element='umami', legality='legal', viewType='standard')",10,0,0.0
42,"CardInfo(effects=(CardEffectInfo(type='GainMusicNote', target='self', value=2), None, CardEffectInfo(type='Suspend', target='self', value=1)), element='jazz', legality='legal', viewType='standard')",14,11,0.7857142857142857
43,"CardInfo(effects=(None, CardEffectInfo(type='BoostAdjacent', target='self', value=1), None), element='jazz', legality='legal', viewType='standard')",8,6,0.75
44,"CardInfo(effects=(CardEffectInfo(type='GainMushroom', target='self', value=2), None, None), element='umami', legality='legal', viewType='standard')",14,0,0.0
45,"CardInfo(effects=(CardEffectInfo(type='Damage', target='opponent', value=1), CardEffectInfo(type='Ignite', target='self', value=None), None), element='fire', legality='legal', viewType='standard')",2,0,0.0
46,"CardInfo(effects=(None, CardEffectInfo(type='Burn', target='opponent', value=2), None), element='jazz', legality='legal', viewType='standard')",10,1,0.1
47,"CardInfo(effects=(CardEffectInfo(type='Damage', target='opponent', value=1), None, CardEffectInfo(type='MissingHpBonus', target='self', value=1)), element='fire', legality='legal', viewType='standard')",1,1,1.0
48,"CardInfo(effects=(None, None, CardEffectInfo(type='PlayNextTwice', target='self', value=None)), element='none', legality='legal', viewType='standard')",1,0,0.0
49,"CardInfo(effects=(CardEffectInfo(type='ElementUp', target='self', value=None), None, None), element='umami', legality='legal', viewType='standard')",20,5,0.25
50,"CardInfo(effects=(None, CardEffectInfo(type='Respect', target='self', value=2), None), element='jazz', legality='legal', viewType='standard')",11,8,0.7272727272727273
51,"CardInfo(effects=(None, None, CardEffectInfo(type='Drain', target='opponent', value=3)), element='umami', legality='legal', viewType='standard')",3,2,0.6666666666666666
52,"CardInfo(effects=(CardEffectInfo(type='Replica', target='self', value=None), CardEffectInfo(type='Grow', target='self', value=1), None), element='umami', legality='legal', viewType='standard')",3,0,0.0
53,"CardInfo(effects=(CardEffectInfo(type='Damage', target='opponent', value=1), CardEffectInfo(type='CardInDiscardBonus', target='self', value=1), None), element='umami', legality='legal', viewType='standard')",2,0,0.0
54,"CardInfo(effects=(CardEffectInfo(type='Block', target='self', value=4), None, CardEffectInfo(type='Cooldown', target='self', value=1)), element='water', legality='legal', viewType='standard')",1,0,0.0
55,"CardInfo(effects=(None, CardEffectInfo(type='ChargeShot', target='self', value=2), None), element='water', legality='legal', viewType='standard')",1,0,0.0
56,"CardInfo(effects=(None, CardEffectInfo(type='Eat', target='self', value=None), CardEffectInfo(type='Fish', target='self', value=None)), element='umami', legality='legal', viewType='standard')",15,12,0.8
57,"CardInfo(effects=(None, CardEffectInfo(type='Reflect', target='self', value=2), None), element='water', legality='legal', viewType='standard')",4,1,0.25
58,"CardInfo(effects=(CardEffectInfo(type='ElementUp', target='self', value=None), None, None), element='water', legality='legal', viewType='standard')",9,1,0.1111111111111111
59,"CardInfo(effects=(None, CardEffectInfo(type='Flood', target='self', value=1), None), element='water', legality='legal', viewType='standard')",9,4,0.4444444444444444
60,"CardInfo(effects=(CardEffectInfo(type='BoostAdjacent', target='self', value=1), None, None), element='jazz', legality='legal', viewType='standard')",2,1,0.5
61,"CardInfo(effects=(None, CardEffectInfo(type='Mirror', target='opponent', value=1), None), element='none', legality='legal', viewType='standard')",4,1,0.25
62,"CardInfo(effects=(CardEffectInfo(type='BlockBonus', target='self', value=None), CardEffectInfo(type='Damage', target='opponent', value=1), None), element='water', legality='legal', viewType='standard')",2,2,1.0
63,"CardInfo(effects=(None, CardEffectInfo(type='Purge', target='opponent', value=1), None), element='none', legality='legal', viewType='standard')",1,0,0.0
64,"CardInfo(effects=(CardEffectInfo(type='Phoenix', target='self', value=1), None, None), element='fire', legality='legal', viewType='standard')",2,0,0.0
65,"CardInfo(effects=(CardEffectInfo(type='Rightmost', target='self', value=2), None, CardEffectInfo(type='Damage', target='opponent', value=1)), element='fire', legality='legal', viewType='standard')",3,0,0.0
66,"CardInfo(effects=(None, None, CardEffectInfo(type='GainMoney', target='self', value=10)), element='none', legality='legal', viewType='standard')",9,1,0.1111111111111111
67,"CardInfo(effects=(None, CardEffectInfo(type='Paralyze', target='opponent', value=None), None), element='umami', legality='legal', viewType='standard')",6,0,0.0
68,"CardInfo(effects=(None, CardEffectInfo(type='BoostAdjacent', target='self', value=2), CardEffectInfo(type='WeakenThis', target='self', value=1)), element='jazz', legality='legal', viewType='standard')",1,1,1.0
69,"CardInfo(effects=(None, CardEffectInfo(type='Heal', target='self', value=3), CardEffectInfo(type='Heal', target='opponent', value=2)), element='umami', legality='legal', viewType='standard')",4,0,0.0
70,"CardInfo(effects=(CardEffectInfo(type='Eat', target='self', value=None), None, CardEffectInfo(type='Fish', target='self', value=None)), element='umami', legality='legal', viewType='standard')",1,1,1.0
71,"CardInfo(effects=(CardEffectInfo(type='Explode', target='opponent', value=3), None, None), element='fire', legality='legal', viewType='standard')",1,0,0.0
72,"CardInfo(effects=(CardEffectInfo(type='GainMoney', target='self', value=10), None, None), element='none', legality='legal', viewType='standard')",1,0,0.0
73,"CardInfo(effects=(CardEffectInfo(type='MissingHpBonus', target='self', value=1), CardEffectInfo(type='Damage', target='opponent', value=1), None), element='fire', legality='legal', viewType='standard')",1,1,1.0
74,"CardInfo(effects=(None, CardEffectInfo(type='Power', target='self', value=None), None), element='none', legality='legal', viewType='standard')",1,0,0.0
75,"CardInfo(effects=(None, None, CardEffectInfo(type='ElementUp', target='self', value=None)), element='umami', legality='legal', viewType='standard')",1,1,1.0
76,"CardInfo(effects=(CardEffectInfo(type='Damage', target='self', value=1), None, CardEffectInfo(type='Damage', target='opponent', value=3)), element='fire', legality='legal', viewType='standard')",1,1,1.0
77,"CardInfo(effects=(None, CardEffectInfo(type='Cleanse', target='self', value=1), None), element='none', legality='legal', viewType='standard')",1,0,0.0
78,"CardInfo(effects=(None, None, CardEffectInfo(type='MultiplyNextAttack', target='self', value=None)), element='fire', legality='legal', viewType='standard')",1,1,1.0
79,"CardInfo(effects=(None, CardEffectInfo(type='Sweep', target='opponent', value=None), None), element='water', legality='legal', viewType='standard')",2,0,0.0
80,"CardInfo(effects=(CardEffectInfo(type='Heal', target='self', value=1), CardEffectInfo(type='Free', target=None, value=None), None), element='water', legality='legal', viewType='standard')",2,0,0.0
81,"CardInfo(effects=(None, CardEffectInfo(type='Block', target='self', value=2), None), element='none', legality='legal', viewType='standard')",1,0,0.0
82,"CardInfo(effects=(CardEffectInfo(type='Cool', target='self', value=2), None, None), element='jazz', legality='legal', viewType='standard')",2,0,0.0
83,"CardInfo(effects=(CardEffectInfo(type='GainMusicNote', target='self', value=1), CardEffectInfo(type='Free', target=None, value=None), None), element='jazz', legality='legal', viewType='standard')",1,1,1.0
84,"CardInfo(effects=(CardEffectInfo(type='Damage', target='opponent', value=3), None, CardEffectInfo(type='Discard', target='self', value=3)), element='fire', legality='legal', viewType='standard')",1,1,1.0
85,"CardInfo(effects=(CardEffectInfo(type='Power', target='opponent', value=None), CardEffectInfo(type='PreventNextDamage', target='self', value=None), None), element='umami', legality='legal', viewType='standard')",1,0,0.0
86,"CardInfo(effects=(None, CardEffectInfo(type='PowerMax', target='self', value=None), CardEffectInfo(type='HalveHP', target='self', value=None)), element='fire', legality='legal', viewType='standard')",1,0,0.0
87,"CardInfo(effects=(None, CardEffectInfo(type='Heal', target='self', value=2), None), element='none', legality='legal', viewType='standard')",1,0,0.0
88,"CardInfo(effects=(None, CardEffectInfo(type='Damage', target='opponent', value=2), None), element='none', legality='legal', viewType='standard')",1,0,0.0
89,"CardInfo(effects=(CardEffectInfo(type='Discard', target='self', value=3), CardEffectInfo(type='Damage', target='opponent', value=3), None), element='fire', legality='legal', viewType='standard')",1,1,1.0
90,"CardInfo(effects=(CardEffectInfo(type='BoostAdjacent', target='self', value=2), None, CardEffectInfo(type='WeakenThis', target='self', value=1)), element='jazz', legality='legal', viewType='standard')",1,0,0.0
91,"CardInfo(effects=(None, CardEffectInfo(type='Explode', target='opponent', value=3), None), element='fire', legality='legal', viewType='standard')",1,0,0.0
92,"CardInfo(effects=(CardEffectInfo(type='Leech', target='opponent', value=2), None, None), element='umami', legality='legal', viewType='standard')",1,0,0.0
93,"CardInfo(effects=(None, None, CardEffectInfo(type='Respect', target='self', value=2)), element='jazz', legality='legal', viewType='standard')",1,0,0.0
94,"CardInfo(effects=(None, CardEffectInfo(type='ElementUp', target='self', value=None), None), element='jazz', legality='legal', viewType='standard')",1,0,0.0
